start_date,end_date,pub_date,Polling,Publisher,Con,Lab,LD,SDP,Green,Referendum,method,UKIP,BNP,TIG/CUK,BXP,BXP/Reform
1958-03-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-04-19,1958-04-23,NA,Gallup,News Chron,38,46.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-05-03,1958-05-07,NA,Gallup,News Chron,34,47,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-05-30,1958-05-06,NA,Gallup,News Chron,39,45.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-06-20,1958-06-25,NA,Gallup,News Chron,39.5,43,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-07-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-08-01,1958-08-06,NA,Gallup,News Chron,42.5,42,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-09-19,1958-09-23,NA,Gallup,News Chron,44,43,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-10-10,1958-10-14,NA,Gallup,News Chron,45.5,41.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-11-01,NA,NA,Gallup,News Chron,46.5,42.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-12-06,1958-12-10,NA,Gallup,News Chron,47,42.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-01-10,1959-01-14,NA,Gallup,News Chron,45.5,45,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-01-24,1959-01-28,NA,Gallup,News Chron,44.5,46.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-02-01,NA,NA,Gallup,News Chron,43,47,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-03-13,1959-03-18,NA,Gallup,News Chron,45.5,47,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-04-10,1959-04-15,NA,Gallup,News Chron,44.5,44,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-05-01,NA,NA,Gallup,News Chron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-06-06,1959-06-10,NA,Gallup,News Chron,45,43.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-07-04,1959-07-07,NA,Gallup,News Chron,45.5,41.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-07-17,1959-07-22,NA,Gallup,News Chron,46,42,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-07-23,1959-07-27,NA,Gallup,News Chron,46.5,43,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-08-07,1959-08-12,NA,Gallup,News Chron,47.5,41.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,NA,1959-09-08,Gallup,News Chron,48.3,41.9,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,1959-09-14,NA,NOP,DM,51.2,42.9,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,NA,1959-09-15,NA,DE,50.8,42.7,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,NA,NA,Gallup,News Chron,50.5,43.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,NA,1959-09-17,Gallup,News Chron,50.6,43.9,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,1959-09-21,NA,NOP,DM,47.4,43.5,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,NA,1959-09-22,NA,DE,51.1,43,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-11,1959-09-15,NA,Gallup,News Chron,49,44.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,NA,1959-09-24,Gallup,News Chron,49.7,44.8,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-01,1959-09-28,NA,NOP,DM,47.8,45.6,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-29,NA,NA,NA,DE,49.5,44.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-09-25,1959-09-28,NA,Gallup,News Chron,46,46.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
