Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,,UKIP,Green,BNP
,Dec,20-21,20/12/2010,,YouGov,Sun,40,0,42,-1,9,1,-2,1,Internet,,,,
,Dec,21-22,21/12/2010,,YouGov,Sun,41,1,42,0,8,-1,-1,1,Internet,,,,
,Dec,22-23,22/12/2010,,YouGov,Sun,39,-2,41,-1,9,1,-2,-1,Internet,,,,
2011,Jan,3-4,03/01/2011,5,YouGov,Sun,40,1,42,1,8,-1,-2,0,Internet,,,,
,Jan,4-5,04/01/2011,6,YouGov,Sun,40,0,41,-1,10,2,-1,1,Internet,,,,
,Jan,5-6,05/01/2011,7,YouGov,Sun,39,-1,43,2,7,-3,-4,-3,Internet,,,,
,Jan,5-?,05/01/2011,,Opinium,,37,0,39,2,11,-1,-2,-2,Internet,,,,
,Jan,6-7,06/01/2011,8,Angus RS,,35,0,40,-1,12,3,-5,1,Internet,,,,
,Jan,6-7,06/01/2011,9,YouGov,ST,38,-1,41,-2,10,3,-3,1,Internet,,,,
,Jan,7-9,07/01/2011,11,ComRes,Ind,34,-2,42,2,12,0,-8,-4,Phone,,,,
,Jan,8-10,08/01/2011,,YouGov,Sun,40,2,43,2,8,-2,-3,0,Internet,,,,
,Jan,10-11,10/01/2011,,YouGov,Sun,40,0,41,-2,7,-1,-1,2,Internet,,,,
,Jan,11-12,11/01/2011,,YouGov,Sun,36,,43,,9,,-7,,Internet,,,,
,Jan,11-12,11/01/2011,,YouGov,,37,,42,,10,,-5,,Internet,,,,
,Jan,12-13,12/01/2011,,YouGov,Sun,41,,41,,8,,0,,Internet,,,,
,Jan,12-13,12/01/2011,16,ComRes,IoS/SM,36,-1,40,1,10,-1,-4,-2,Internet,,,,
,Jan,13-14,13/01/2011,16,YouGov,ST,37,-4,43,2,9,1,-6,-6,Internet,,,,
,Jan,14-?,14/01/2011,,Opinium,,35,-2,38,-1,12,1,-3,-1,Internet,,,,
,Jan,16-17,16/01/2011,,YouGov,Sun,37,0,42,-1,9,0,-5,1,Internet,,,,
