Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Referendum,,Con lead,,
,Feb,23-26,29,MORI,TT,26,0,57,0,14,0,,,-31,0,
,Feb,29-4,8,Gallup,DT,23,-5,57.5,3,16,1.5,,,-34.5,-8,
,Feb,,,G9000,,25.4,2.3,55.4,-0.2,14.9,-1.9,,,-30,2.5,
,Mar,2-4,7,ICM,GU,31,0,45,-2,20,1,,,-14,2,
,Mar,8-11,,MORI,,29,3,55,-2,13,-1,,,-26,5,
,Mar,14,17,NOP,ST,29,1,53,3,14,-3,,,-24,-2,
,Mar,22-25,,MORI,TT,28,-1,57,2,13,0,,,-29,-3,
,Mar,27-1,5,Gallup,DT,26,3,55.5,-2,15.5,-0.5,,,-29.5,5,
,Mar,,,G9000,,23.9,-1.5,57.3,1.9,15.1,0.2,,,-33.4,-3.4,
,Apr,12-13,18,ICM,GU,29,-2,50,5,17,-3,,,-21,-7,
,Apr,19-22,25,MORI,TT,28,0,54,-3,14,1,,,-26,3,
,Apr,25,28,NOP,ST,29,0,51,-2,14,1,,,-22,2,
,Apr,27,,MORI,,29,1,54,0,13,-1,,,-25,1,
,Apr,,,G9000,,23.8,-0.1,57.2,-0.1,14.3,-0.8,,,-33.4,0,
,May,1-3,5,ICM,SE,31,2,45,-5,21,4,,,-14,7,
,May,1-6,10,Gallup,DT,24.5,-1.5,55.5,0,15.5,0,,,-31,-1.5,
,May,3-5,9,ICM,GU,28,-3,45,0,21,0,,,-17,-3,
,May,10-13,,MORI,,27,-2,56,2,13,0,,,-29,-4,
,May,16,19,NOP,ST,27,-2,52,1,17,3,,,-25,-3,
,May,23-26,30,MORI,TT,27,0,54,-2,15,2,,,-27,2,
,May,30-3,7,Gallup,DT,22.5,-2,57,1.5,16,0.5,,,-34.5,-3.5,
,May,31-2,4,ICM,GU,30,2,46,1,19,-2,,,-16,1,
,May,,,G9000,,24.3,0.5,54.8,-2.4,16,1.7,,,-30.5,2.9,
,Jun,5-6,5,ICM,GU,30,,46,,19,,,,-16,,Phone
,Jun,7-10,,MORI,,27,0,56,2,13,-2,,,-29,-2,
,Jun,20,23,NOP,ST,31,4,50,-2,15,-2,,,-19,6,
,Jun,21-24,27,MORI,TT,31,4,52,-4,12,-1,,,-21,8,
,Jun,27-1,4,Gallup,DT,26,3.5,54.5,-2.5,14.5,-1.5,,,-28.5,6,
,Jun,28-1,,MORI,,32,1,52,0,12,0,,,-20,1,
,Jun,,,G9000,,26.1,1.8,54.9,0.1,14.5,-1.5,,,-28.8,1.7,
,Jul,5-6,11,ICM,GU,30,0,45,-1,21,2,,,-15,1,Phone
,Jul,23-28,1,MORI,TT,29,-3,53,1,12,0,,,-24,-7,
,Jul,25,28,NOP,ST,31,0,48,-2,16,1,,,-17,2,
,Jul,31-5,9,Gallup,DT,25,-1,59,4.5,11,-3.5,,,-34,-5.5,
,Jul,,,G9000,,27,0.9,54.1,-0.8,14,-0.5,,,-27.1,1.7,
,Aug,2-3,7,ICM,GU,33,3,45,-1,19,0,,,-12,4,
,Aug,9-12,,MORI,,30,1,52,-1,13,1,,,-22,2,
,Aug,15,18,NOP,ST,30,-1,51,3,15,-1,,,-21,-4,
,Aug,20-25,29,MORI,TT,30,0,51,-1,13,0,,,-21,1,
,Aug,28-3,6,Gallup,DT,25.5,0.5,58.5,-0.5,11,0,,,-33,1,
,Aug,,,G9000,,26.9,-0.1,53.3,-0.8,13.8,-0.2,,,-26.4,0.7,
,Sep,6-7,13,ICM,GU,32,-1,47,2,16,-3,,,-15,-3,
,Sep,6-9,,MORI,,28,-2,56,5,12,-1,,,-28,-7,
,Sep,20-23,26,MORI,TT,29,1,52,-4,14,2,,,-23,5,
,Sep,19,22,NOP,ST,31,1,50,-1,14,-1,,,-19,2,
,Sep,18-24,30,Gallup,DT,27,1.5,54,-4.5,13.5,2.5,,,-27,6,
,Sep,26-1,5,Gallup,DT,27.5,0.5,52,-2,15,1.5,,,-24.5,2.5,
,Sep,,,G9000,,27,0.1,54.1,0.8,13.9,0.1,,,-27.1,-0.7,
,Oct,3,6,NOP,ST,29,-2,52,2,13,-1,,,-23,-4,
,Oct,3-4,5,Gallup,DT,24,-3.5,57,5,15,0,,,-33,-8.5,
,Oct,4-5,8,ICM,GU,31,-1,49,2,16,0,,,-18,-3,
,Oct,4-7,,MORI,,29,0,54,2,13,-1,,,-25,-2,
,Oct,11-14,,MORI,,30,1,53,-1,12,-1,,,-23,2,
,Oct,17,20,NOP,ST,33,4,47,-5,14,1,,,-14,9,
,Oct,18-21,,MORI,,27,,54,1,12,0,,,-27,,Phone
,Oct,25-28,31,MORI,TT,28,-2,56,3,12,0,,,-28,-5,
,Oct,30-1,,MORI,,30,3,54,0,12,0,,,-24,3,Phone
,Oct,30-5,8,Gallup,DT,28,4,55,-2,11,-4,,,-27,6,
,Oct,,,G9000,,25.8,-1.2,54.7,0.6,15,1.1,,,-28.9,-1.8,
,Nov,1-2,7,ICM,GU,34,3,47,-2,15,-1,,,-13,5,
,Nov,8-11,15,MORI,TT,33,5,50,-6,12,0,,,-17,11,
,Nov,14,17,NOP,ST,30,-3,50,3,15,1,,,-20,-6,
,Nov,27-29,,MORI,,30,-3,52,2,13,1,,,-22,-5,
,Nov,,,G9000,,25.8,0,55.8,1.1,12.6,-2.4,,,-30,-1.1,
,Nov,27-2,6,Gallup,DT,22,-6,59,4,12,1,,,-37,-10,
,Nov,29-1,3,ICM,GU,31,-3,50,3,15,0,,,-19,-6,
,Dec,6-9,12,MORI,TT,30,0,51,-1,13,0,2,,-21,1,
,Dec,12,15,NOP,ST,31,1,50,0,14,-1,1,,-19,1,
,Dec,,,Gallup,,28.5,,52.5,,11.5,,,,-24,,Change of methodology
,Dec,,,G9000,,30.5,,51,,12.7,,,,-20.5,,Change of methodology
1997,Jan,3-5,8,ICM,GU,31,0,48,-2,16,1,,,-17,2,
,Jan,11-15,17,Gallup,DT,32.5,4,50.5,-2,10.5,-1,,,-18,6,
,Jan,16,19,NOP,ST,32,1,49,-1,13,-1,1,0,-17,2,
,Jan,24-28,31,MORI,TT,30,0,55,4,11,-2,,,-25,-4,
,Jan,30-4,7,Gallup,DT,34,1.5,49,-1.5,12,1.5,1,,-15,3,
,Jan,31-2,4,ICM,GU,32,1,48,0,15,-1,,,-16,1,
,Jan,,,G9000,,33,2.5,50.5,-0.5,11.3,-1.4,1.3,,-17.5,3,
