Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,Lab,,LD,,UKIP,,Green,,Con lead,,
,Nov,18-20,18/11/2016,21,ICM,Gu,42,-1,28,1,9,1,11,-1,3,-2,14,-2,Internet
,Nov,21-22,21/11/2016,25,YouGov,TT,41,-1,28,0,9,1,12,1,4,0,13,-1,Internet
,Nov,22-25,22/11/2016,,BMG,,,,,,,,,,,,,,Internet
,Nov,25-27,25/11/2016,29,ICM,Gu,44,2,28,0,7,-2,12,1,4,1,16,2,Internet
,Nov,25-28,25/11/2016,,Sky,,,,,,,,,,,,,,Internet
,Nov,28-29,28/11/2016,2,YouGov,TT,39,-2,27,-1,9,0,14,2,4,0,12,-1,Internet
,Nov,29-30,29/11/2016,1,YouGov,PB,,,,,,,,,,,,,Internet
,Dec,4-5,04/12/2016,9,YouGov,TT,42,3,25,-2,11,2,12,-2,4,0,17,5,Internet
,Dec,6-9,06/12/2016,,BMG,,,,,,,,,,,,,,Internet
,Dec,9-11,09/12/2016,12,ICM,Gu,41,-3,27,-1,9,2,14,2,3,-1,14,-2,Internet
,Dec,9-12,09/12/2016,15,Ipsos MORI,ES,40,-2,29,-4,14,4,9,2,3,0,11,2,Phone
,Dec,13-16,13/12/2016,18,Opinium,Ob,38,-3,31,2,6,-1,13,1,4,1,7,-5,Internet
,Dec,18-19,18/12/2016,2,YouGov,TT,39,-3,24,-1,12,1,14,2,4,0,15,-2,Internet
2017,Jan,3-4,03/01/2017,6,YouGov,TT,39,0,26,2,10,-2,14,0,4,0,13,-2,Internet
,Jan,6-8,06/01/2017,9,ICM,Gu,42,1,28,1,9,0,12,-2,4,1,14,0,Internet
,Jan,6-9,06/01/2017,,BMG,,,,,,,,,,,,,,Internet
,Jan,9-10,09/01/2017,16,YouGov,TT,39,0,28,2,11,1,13,-1,3,-1,11,-2,Internet
,Jan,10-12,10/01/2017,14,Opinium,Ob,38,0,30,-1,7,1,14,1,4,0,8,1,Internet
,Jan,13,13/01/2017,15,Survation,MoS,38,-1,29,0,10,2,13,0,2,-2,9,-1,Internet
,Jan,13-16,13/01/2017,19,Ipsos MORI,ES,43,3,31,2,11,-3,6,-3,4,1,12,1,Phone
,Jan,17-18,17/01/2017,19,YouGov,TT,42,3,25,-3,11,0,12,-1,3,0,17,6,Internet
,Jan,20-22,20/01/2017,23,ICM,Gu,42,0,26,-2,10,1,13,1,5,1,16,2,Internet
,Jan,23-24,23/01/2017,26,YouGov,TT,40,-2,24,-1,10,-1,14,2,4,1,16,-1,Internet
,Jan,30-31,30/01/2017,3,YouGov,TT,40,0,26,2,11,1,12,-2,4,0,14,-2,Internet
